reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
91.122.210.7,4,-34934979,DNS Server: ip-007-210-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.198.12,4,62,DNS Server: ip-012-198-122-091.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
92.101.120.14,4,4477,DNS Server: ip-014-120-101-92.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
91.122.227.23,4,69197,DNS Server: ip-023-227-122-091.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.204.28,4,-5488,DNS Server: ip-028-204-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.198.34,4,23243,DNS Server: ip-034-198-122-091.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
92.101.121.44,4,1126,DNS Server: ip-044-121-101-92.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
91.122.211.46,4,-137153,DNS Server: ip-046-211-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.213.47,4,2244,DNS Server: ip-047-213-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.208.52,4,-90019,DNS Server: ip-052-208-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
91.122.225.63,4,49965,DNS Server: ip-063-225-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
92.101.121.75,4,3909,DNS Server: ip-075-121-101-92.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
91.122.216.160,4,25,DNS Server: ip-160-216-122-091.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
92.101.95.217,4,9559,DNS Server: ip-217-095-101-092.static.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
92.101.120.233,4,95,DNS Server: ip-233-120-101-92.pools.atnet.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
95.54.197.73,4,358894,DNS Server: ip.95-54-197-73.dslavangard.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
95.54.194.2,4,91,masu.edu.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
91.122.206.148,4,19,onedu.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
92.101.72.41,4,-652,wdfiles.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Arkhangelsk
91.122.205.219,4,-498,wdho.ru,RU,Europe,Eastern Europe,Russian Federation,Arkhangelskaya,,Severodvinsk
